HashFunction,HashApp,HashOwner,Count,Average,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
1779fd3337dd353e424d808d9190aff8f09e46a8cbbe6469079b2d7f0e246e37,1779fd3337dd353e424d808d9190aff8f09e46a8cbbe6469079b2d7f0e246e37,1779fd3337dd353e424d808d9190aff8f09e46a8cbbe6469079b2d7f0e246e37,265,10527,4436.0,41043.0,4436,4436,6989,8747,10367,41043,41043
bd28ee142ca5b46259f6e27fc3a4216f447bd5843c406e63219cff30e73b135b,bd28ee142ca5b46259f6e27fc3a4216f447bd5843c406e63219cff30e73b135b,bd28ee142ca5b46259f6e27fc3a4216f447bd5843c406e63219cff30e73b135b,81,54333,28252.0,93975.0,28271,28271,38155,51130,61583,93975,93975
1b46c1a27eed72fecf2e76f229f9ffd47d327e3ef9a13ad30f46bd247e07fbee,1b46c1a27eed72fecf2e76f229f9ffd47d327e3ef9a13ad30f46bd247e07fbee,1b46c1a27eed72fecf2e76f229f9ffd47d327e3ef9a13ad30f46bd247e07fbee,61,17304,1224.0,74709.0,1750,1750,4134,5857,21132,74709,74709
01d1a13d091b0cfc764a125ead054ad6a720cb29b0b1fc2c187e9be3311f09fe,01d1a13d091b0cfc764a125ead054ad6a720cb29b0b1fc2c187e9be3311f09fe,01d1a13d091b0cfc764a125ead054ad6a720cb29b0b1fc2c187e9be3311f09fe,11,219,195.0,244.0,195,195,195,195,244,244,244
922335f3d209fa21dae2f6f7c83f633bf7c9708d8d3d350c508abf53f04ffea8,922335f3d209fa21dae2f6f7c83f633bf7c9708d8d3d350c508abf53f04ffea8,922335f3d209fa21dae2f6f7c83f633bf7c9708d8d3d350c508abf53f04ffea8,41039,53543,733.0,522895.0,741,996,1967,2448,102740,329095,403817
fd8a2430aa1d1b6fb9e059ff6268eabf8bbd77e68a6d5f38195a67820149b0ab,fd8a2430aa1d1b6fb9e059ff6268eabf8bbd77e68a6d5f38195a67820149b0ab,fd8a2430aa1d1b6fb9e059ff6268eabf8bbd77e68a6d5f38195a67820149b0ab,2,1111,21.0,2202.0,21,21,21,21,2202,2202,2202
77de38e4b50e618a0ebb95db61e2f42697391659d82c064a5f81b9f48d85ccd5,77de38e4b50e618a0ebb95db61e2f42697391659d82c064a5f81b9f48d85ccd5,77de38e4b50e618a0ebb95db61e2f42697391659d82c064a5f81b9f48d85ccd5,337,1282823,1033827.0,1629955.0,1033827,1033827,1167654,1269580,1352930,1629955,1629955
1b9ac673d9ba28ccca0138c02ebb23299dd9236df2e4289c8871484bde2ad0fb,1b9ac673d9ba28ccca0138c02ebb23299dd9236df2e4289c8871484bde2ad0fb,1b9ac673d9ba28ccca0138c02ebb23299dd9236df2e4289c8871484bde2ad0fb,168,181984,146607.0,326645.0,146607,146607,153409,162129,189245,326645,326645
ce83dad431b1b26bf26de798e9f8429f1d95d1194971aed0502481035c1a6872,ce83dad431b1b26bf26de798e9f8429f1d95d1194971aed0502481035c1a6872,ce83dad431b1b26bf26de798e9f8429f1d95d1194971aed0502481035c1a6872,14,22951,21025.0,29059.0,21025,21025,21072,21440,22957,29059,29059
1f9f9b0e28ddbc5d073675a4debc163aa761d4350ce51bffa57819ad23178bc8,1f9f9b0e28ddbc5d073675a4debc163aa761d4350ce51bffa57819ad23178bc8,1f9f9b0e28ddbc5d073675a4debc163aa761d4350ce51bffa57819ad23178bc8,3,27,27.0,27.0,27,27,27,27,27,27,27
e134ff003439a751de654082a8aabfaa6066de015aad9a8f87f90b520d02b616,e134ff003439a751de654082a8aabfaa6066de015aad9a8f87f90b520d02b616,e134ff003439a751de654082a8aabfaa6066de015aad9a8f87f90b520d02b616,14,3519,3519.0,3519.0,3519,3519,3519,3519,3519,3519,3519
4695bfb40a0aa45072d92c80f5ea16e210925aa1e98e1b0b003d1c08ae85ac8b,4695bfb40a0aa45072d92c80f5ea16e210925aa1e98e1b0b003d1c08ae85ac8b,4695bfb40a0aa45072d92c80f5ea16e210925aa1e98e1b0b003d1c08ae85ac8b,8,140,140.0,140.0,140,140,140,140,140,140,140
be2474804444755601003937fe57fb9b67bd7e4c0fbc9658154f6802667086e3,be2474804444755601003937fe57fb9b67bd7e4c0fbc9658154f6802667086e3,be2474804444755601003937fe57fb9b67bd7e4c0fbc9658154f6802667086e3,1,513,513.0,513.0,513,513,513,513,513,513,513
b1e1041ab80fa97ab6fcf54e3675e21f2cedbad0eee88cbd06b92a8eb9c01f15,b1e1041ab80fa97ab6fcf54e3675e21f2cedbad0eee88cbd06b92a8eb9c01f15,b1e1041ab80fa97ab6fcf54e3675e21f2cedbad0eee88cbd06b92a8eb9c01f15,58,4002,18.0,18418.0,24,24,67,1263,4694,15446,15446
0d809c755f28c56ecad624a7e67f095d19555439473239e4e4c726096cccc382,0d809c755f28c56ecad624a7e67f095d19555439473239e4e4c726096cccc382,0d809c755f28c56ecad624a7e67f095d19555439473239e4e4c726096cccc382,3,152,46.0,258.0,46,46,46,46,258,258,258
491e578126c15ce97fae0c767fefb2539d87b7828d2d27bdf4fcf60f896ee206,491e578126c15ce97fae0c767fefb2539d87b7828d2d27bdf4fcf60f896ee206,491e578126c15ce97fae0c767fefb2539d87b7828d2d27bdf4fcf60f896ee206,31,1238,803.0,1997.0,832,832,861,984,1431,1951,1951
8cdc77d94f4e786561c44c0381caf4305ef25b4c3921a67036df42c5125b1cde,8cdc77d94f4e786561c44c0381caf4305ef25b4c3921a67036df42c5125b1cde,8cdc77d94f4e786561c44c0381caf4305ef25b4c3921a67036df42c5125b1cde,1171,7746,595.0,83500.0,656,746,2096,2921,6202,72284,81136
22f3eafb981cb330b14b07968d4dcbfb0aaf035ab5a8958f3b54bd24029de625,22f3eafb981cb330b14b07968d4dcbfb0aaf035ab5a8958f3b54bd24029de625,22f3eafb981cb330b14b07968d4dcbfb0aaf035ab5a8958f3b54bd24029de625,31,1293,879.0,2671.0,960,960,1104,1135,1169,2589,2589
d414fb0ae7d29dcae99f6ef1434a4b982ade9db715dba7fab1af7e4d69ae4bee,d414fb0ae7d29dcae99f6ef1434a4b982ade9db715dba7fab1af7e4d69ae4bee,d414fb0ae7d29dcae99f6ef1434a4b982ade9db715dba7fab1af7e4d69ae4bee,13,2641,2054.0,3679.0,2054,2054,2349,2410,2720,3679,3679
5f4de4d3c986cb390271902a7a73e3d16bdfb995921e7a600c17eecdb6b8a2f5,5f4de4d3c986cb390271902a7a73e3d16bdfb995921e7a600c17eecdb6b8a2f5,5f4de4d3c986cb390271902a7a73e3d16bdfb995921e7a600c17eecdb6b8a2f5,3,56,56.0,56.0,56,56,56,56,56,56,56
2c408af9c8da3681beff0e3b2790a11270e0e1b69f47ca4f82c36e5c794360e5,2c408af9c8da3681beff0e3b2790a11270e0e1b69f47ca4f82c36e5c794360e5,2c408af9c8da3681beff0e3b2790a11270e0e1b69f47ca4f82c36e5c794360e5,6,234,234.0,234.0,234,234,234,234,234,234,234
56012bb7e4b9aee8fed5246760a4e9ce94af7a5ffc203596ef52e71e4291b094,56012bb7e4b9aee8fed5246760a4e9ce94af7a5ffc203596ef52e71e4291b094,56012bb7e4b9aee8fed5246760a4e9ce94af7a5ffc203596ef52e71e4291b094,3722,10854,4461.0,155471.0,4461,4652,7502,7863,8561,113193,155471
ce34c0431cb9178a7cf8e44d9860af32d8a2130cb4119778c33c6cd822dacd8a,ce34c0431cb9178a7cf8e44d9860af32d8a2130cb4119778c33c6cd822dacd8a,ce34c0431cb9178a7cf8e44d9860af32d8a2130cb4119778c33c6cd822dacd8a,4,165470,983.0,230909.0,983,983,983,208178,221810,230909,230909
53141659778e1ff32f7017435337f0166d3a556b002888fec316577a4f09821d,53141659778e1ff32f7017435337f0166d3a556b002888fec316577a4f09821d,53141659778e1ff32f7017435337f0166d3a556b002888fec316577a4f09821d,3,39,34.0,44.0,34,34,34,34,44,44,44
0e20f1f70702e3cf108f25ced440145a0b9b4195d94b6bd99af4a39300d83c41,0e20f1f70702e3cf108f25ced440145a0b9b4195d94b6bd99af4a39300d83c41,0e20f1f70702e3cf108f25ced440145a0b9b4195d94b6bd99af4a39300d83c41,336,42526,20437.0,73661.0,20437,20437,29551,40174,51972,73661,73661
b67d146e9e84a338814514ebab307f5a16b4234efa824fa37a52d9030792ca15,b67d146e9e84a338814514ebab307f5a16b4234efa824fa37a52d9030792ca15,b67d146e9e84a338814514ebab307f5a16b4234efa824fa37a52d9030792ca15,131,28254,16866.0,51437.0,17369,17369,20929,23794,32763,50180,50180
c9ed5a1e934d35cd3c87f868d30af2ddb4acc2ed7df610409ce2f19b815fc692,c9ed5a1e934d35cd3c87f868d30af2ddb4acc2ed7df610409ce2f19b815fc692,c9ed5a1e934d35cd3c87f868d30af2ddb4acc2ed7df610409ce2f19b815fc692,503,11557,3096.0,124013.0,3105,3115,3425,4779,9725,95250,124013
e088ae6a526a807fc654b4971c3b92d574c5f6760d8384653ef16aad5230fadb,e088ae6a526a807fc654b4971c3b92d574c5f6760d8384653ef16aad5230fadb,e088ae6a526a807fc654b4971c3b92d574c5f6760d8384653ef16aad5230fadb,334,64188,29707.0,145540.0,37095,37095,37638,39316,80643,125349,133710
490f408b7641533e5963c6a0c47462b572836d4ebfed78fa4021bd45de5e9f6a,490f408b7641533e5963c6a0c47462b572836d4ebfed78fa4021bd45de5e9f6a,490f408b7641533e5963c6a0c47462b572836d4ebfed78fa4021bd45de5e9f6a,40310,15218,7865.0,308715.0,7865,8395,9556,10394,11691,148675,270143
9f2316d6944f1e9c0b049ebc782850bacf45628a43f39afb486d6db0f0be39dd,9f2316d6944f1e9c0b049ebc782850bacf45628a43f39afb486d6db0f0be39dd,9f2316d6944f1e9c0b049ebc782850bacf45628a43f39afb486d6db0f0be39dd,151,572471,389048.0,772201.0,389075,389075,479523,554744,661875,772126,772126
a30fdd33f2b07e6f1d0db4238ecaf682c6513b9dd18a090dce001a4d7edf1c03,a30fdd33f2b07e6f1d0db4238ecaf682c6513b9dd18a090dce001a4d7edf1c03,a30fdd33f2b07e6f1d0db4238ecaf682c6513b9dd18a090dce001a4d7edf1c03,8000,1127,13.0,67995.0,164,164,226,265,367,32361,59160
